Team,Season,League,Games Played,Home Wins,Home Draws,Home Losses,Home Goals Scored,Home Goals Conceded,Away Wins,Away Draws,Away Losses,Away Goals Scored,Away Goals Conceded,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference,League Position,Promoted,Relegated,prev_season_points,prev_season_league,prev_season_position,prev_season_gd,promoted_from_championship
Norwich,2020/2021,Championship,46,14,6,3,39,15,15,4,4,36,21,29,10,7,75,36,97,39,1.0,0,0,0.0,N/A,0.0,0.0,False
Watford,2020/2021,Championship,46,19,2,2,44,12,8,8,7,19,18,27,10,9,63,30,91,33,2.0,0,0,0.0,N/A,0.0,0.0,False
Brentford,2020/2021,Championship,46,12,9,2,39,20,12,6,5,40,22,24,15,7,79,42,87,37,3.0,0,0,0.0,N/A,0.0,0.0,False
Man City,2020/2021,Premier League,38,13,2,4,43,17,14,3,2,40,15,27,5,6,83,32,86,51,1.0,0,0,0.0,N/A,0.0,0.0,False
Swansea,2020/2021,Championship,46,12,6,5,27,16,11,5,7,29,23,23,11,12,56,39,80,17,4.0,0,0,0.0,N/A,0.0,0.0,False
Barnsley,2020/2021,Championship,46,12,6,5,30,22,11,3,9,28,28,23,9,14,58,50,78,8,5.0,0,0,0.0,N/A,0.0,0.0,False
Bournemouth,2020/2021,Championship,46,13,3,7,40,24,9,8,6,33,22,22,11,13,73,46,77,27,6.0,0,0,0.0,N/A,0.0,0.0,False
Man United,2020/2021,Premier League,38,9,4,6,38,28,12,7,0,35,16,21,11,6,73,44,74,29,2.0,0,0,0.0,N/A,0.0,0.0,False
Reading,2020/2021,Championship,46,12,4,7,37,27,7,9,7,25,27,19,13,14,62,54,70,8,7.0,0,0,0.0,N/A,0.0,0.0,False
Liverpool,2020/2021,Premier League,38,10,3,6,29,20,10,6,3,39,22,20,9,9,68,42,69,26,3.0,0,0,0.0,N/A,0.0,0.0,False
Cardiff,2020/2021,Championship,46,8,6,9,37,26,10,8,5,29,23,18,14,14,66,49,68,17,8.0,0,0,0.0,N/A,0.0,0.0,False
QPR,2020/2021,Championship,46,11,4,8,32,27,8,7,8,25,28,19,11,16,57,55,68,2,8.0,0,0,0.0,N/A,0.0,0.0,False
Chelsea,2020/2021,Premier League,38,9,6,4,31,18,10,4,5,27,18,19,10,9,58,36,67,22,4.0,0,0,0.0,N/A,0.0,0.0,False
Leicester,2020/2021,Premier League,38,9,1,9,34,30,11,5,3,34,20,20,6,12,68,50,66,18,5.0,0,0,0.0,N/A,0.0,0.0,False
West Ham,2020/2021,Premier League,38,10,4,5,32,22,9,4,6,30,25,19,8,11,62,47,65,15,6.0,0,0,0.0,N/A,0.0,0.0,False
Middlesbrough,2020/2021,Championship,46,11,4,8,30,25,7,6,10,25,28,18,10,18,55,53,64,2,10.0,0,0,0.0,N/A,0.0,0.0,False
Tottenham,2020/2021,Premier League,38,10,3,6,35,20,8,5,6,33,25,18,8,12,68,45,62,23,7.0,0,0,0.0,N/A,0.0,0.0,False
Luton,2020/2021,Championship,46,8,9,6,25,23,9,2,12,16,29,17,11,18,41,52,62,-11,11.0,0,0,0.0,N/A,0.0,0.0,False
Millwall,2020/2021,Championship,46,7,10,6,24,24,8,7,8,23,28,15,17,14,47,52,62,-5,11.0,0,0,0.0,N/A,0.0,0.0,False
Arsenal,2020/2021,Premier League,38,8,4,7,24,21,10,3,6,31,18,18,7,13,55,39,61,16,8.0,0,0,0.0,N/A,0.0,0.0,False
Preston,2020/2021,Championship,46,7,5,11,21,24,11,2,10,28,32,18,7,21,49,56,61,-7,13.0,0,0,0.0,N/A,0.0,0.0,False
Stoke,2020/2021,Championship,46,9,5,9,29,28,6,10,7,21,24,15,15,16,50,52,60,-2,14.0,0,0,0.0,N/A,0.0,0.0,False
Everton,2020/2021,Premier League,38,6,4,9,24,28,11,4,4,23,20,17,8,13,47,48,59,-1,9.0,0,0,0.0,N/A,0.0,0.0,False
Leeds,2020/2021,Premier League,38,8,5,6,28,21,10,0,9,34,33,18,5,15,62,54,59,8,9.0,0,0,0.0,N/A,0.0,0.0,False
Blackburn,2020/2021,Championship,46,9,7,7,37,28,6,5,12,28,26,15,12,19,65,54,57,11,15.0,0,0,0.0,N/A,0.0,0.0,False
Aston Villa,2020/2021,Premier League,38,7,4,8,29,27,9,3,7,26,19,16,7,15,55,46,55,9,11.0,0,0,0.0,N/A,0.0,0.0,False
Coventry,2020/2021,Championship,46,10,7,6,30,22,4,6,13,19,39,14,13,19,49,61,55,-12,16.0,0,0,0.0,N/A,0.0,0.0,False
Nott'm Forest,2020/2021,Championship,46,6,8,9,21,24,6,8,9,16,21,12,16,18,37,45,52,-8,17.0,0,0,0.0,N/A,0.0,0.0,False
Birmingham,2020/2021,Championship,46,6,4,13,18,37,7,9,7,19,24,13,13,20,37,61,52,-24,17.0,0,0,0.0,N/A,0.0,0.0,False
Bristol City,2020/2021,Championship,46,7,3,13,18,30,8,3,12,28,38,15,6,25,46,68,51,-22,19.0,0,0,0.0,N/A,0.0,0.0,False
Huddersfield,2020/2021,Championship,46,8,7,8,28,23,4,6,13,22,48,12,13,21,50,71,49,-21,20.0,0,0,0.0,N/A,0.0,0.0,False
Sheffield Weds,2020/2021,Championship,46,8,8,7,22,17,4,3,16,18,44,12,11,23,40,61,47,-21,21.0,0,0,0.0,N/A,0.0,0.0,False
Newcastle,2020/2021,Premier League,38,6,5,8,26,33,6,4,9,20,29,12,9,17,46,62,45,-16,12.0,0,0,0.0,N/A,0.0,0.0,False
Wolves,2020/2021,Premier League,38,7,4,8,21,25,5,5,9,15,27,12,9,17,36,52,45,-16,12.0,0,0,0.0,N/A,0.0,0.0,False
